,GEOID,hhinc_low,hhinc_prop,passist_prop
0,410290024001,124,0.31794871794871793,0.046153846153846156
1,410419508001,193,0.2893553223388306,0.1469265367316342
2,410419508002,544,0.5818181818181818,0.21390374331550802
3,410419514001,148,0.2208955223880597,0.2373134328358209
4,410419514002,260,0.47358834244080145,0.3770491803278688
5,410290027002,123,0.19099378881987578,0.10093167701863354
6,410290027003,679,0.4846538187009279,0.16131334760885083
7,410290027001,169,0.4043062200956938,0.13157894736842105
8,410290027004,313,0.44022503516174405,0.28973277074542897
9,410290011003,149,0.34894613583138173,0.12646370023419204
10,410290011002,280,0.24626209322779244,0.14160070360598065
11,410290011001,176,0.3378119001919386,0.236084452975048
12,410290013011,142,0.2757281553398058,0.2621359223300971
13,410290013013,43,0.1396103896103896,0.21753246753246752
14,410290021002,208,0.46846846846846846,0.16441441441441443
15,410290021003,74,0.1761904761904762,0.05952380952380952
16,410290029005,277,0.4548440065681445,0.1625615763546798
17,410290029001,190,0.4846938775510204,0.3494897959183674
18,410290029002,96,0.1350210970464135,0.05907172995780591
19,410290029006,115,0.30183727034120733,0.15748031496062992
20,410290018003,362,0.32350312779267204,0.12511170688114387
21,410290018001,230,0.3185595567867036,0.08448753462603878
22,410290018002,289,0.25065047701647875,0.09800520381613183
23,410290020002,218,0.4316831683168317,0.10297029702970296
24,410290028001,171,0.26226993865030673,0.1656441717791411
25,410290028003,61,0.22932330827067668,0.0
26,410290008001,678,0.44140625,0.23372395833333334
27,410290007001,223,0.32794117647058824,0.19264705882352942
28,410290007002,331,0.3191899710703954,0.11378977820636452
29,410190500012,199,0.2601307189542484,0.21830065359477124
30,410190500011,112,0.3696369636963696,0.066006600660066
31,410190500014,86,0.2783171521035599,0.11326860841423948
32,410191800001,156,0.3436123348017621,0.05947136563876652
33,410191800004,130,0.5485232067510548,0.43037974683544306
34,410359704001,220,0.3971119133574007,0.13537906137184116
35,410359714002,192,0.4648910411622276,0.20581113801452786
36,410359714003,58,0.25217391304347825,0.05217391304347826
37,410359715004,200,0.5333333333333333,0.296
38,410359715001,173,0.6431226765799256,0.4721189591078067
39,410359715005,271,0.48392857142857143,0.42142857142857143
40,410359715002,211,0.5994318181818182,0.2528409090909091
41,410359718003,305,0.8221024258760108,0.7277628032345014
42,410419504001,543,0.6026637069922308,0.3196448390677026
43,410290030023,117,0.17005813953488372,0.04796511627906977
44,410419501001,484,0.5475113122171946,0.251131221719457
45,410419501002,204,0.4473684210526316,0.21929824561403508
46,410419511001,124,0.35127478753541075,0.18413597733711048
47,410419511002,241,0.5171673819742489,0.24892703862660945
48,410419516001,270,0.44189852700491,0.2225859247135843
49,410419516003,140,0.3465346534653465,0.15346534653465346
50,410419516002,275,0.46218487394957986,0.2857142857142857
51,410419509001,86,0.26380368098159507,0.27300613496932513
52,410419509003,166,0.3577586206896552,0.21767241379310345
53,410419509002,70,0.23255813953488372,0.16943521594684385
