,GEOID,hhlang_prop,hhlang_not-e,hhlang_lipro,hhlang_lim
0,410290024001,0.11538461538461539,45,0.03333333333333333,13
1,410419508001,0.06146926536731634,41,0.0,0
2,410419508002,0.05454545454545454,51,0.0,0
3,410419514001,0.014925373134328358,10,0.0,0
4,410419514002,0.01639344262295082,9,0.0,0
5,410290027002,0.13043478260869565,84,0.0,0
6,410290027003,0.06780870806566738,95,0.0,0
7,410290027001,0.0,0,0.0,0
8,410290027004,0.01828410689170183,13,0.004219409282700422,3
9,410290011003,0.0,0,0.0,0
10,410290011002,0.055408970976253295,63,0.0,0
11,410290011001,0.0,0,0.0,0
12,410290013011,0.39029126213592236,201,0.0,0
13,410290013013,0.22077922077922077,68,0.0,0
14,410290021002,0.02252252252252252,10,0.0,0
15,410290021003,0.0,0,0.0,0
16,410290029005,0.0,0,0.0,0
17,410290029001,0.03826530612244898,15,0.0,0
18,410290029002,0.11533052039381153,82,0.0,0
19,410290029006,0.0,0,0.0,0
20,410290018003,0.10545129579982127,118,0.0,0
21,410290018001,0.08448753462603878,61,0.029085872576177285,21
22,410290018002,0.09453599306157849,109,0.020815264527320035,24
23,410290020002,0.1188118811881188,60,0.0,0
24,410290028001,0.05674846625766871,37,0.0,0
25,410290028003,0.07894736842105263,21,0.0,0
26,410290008001,0.045572916666666664,70,0.0,0
27,410290007001,0.026470588235294117,18,0.0,0
28,410290007002,0.218900675024108,227,0.0742526518804243,77
29,410190500012,0.026143790849673203,20,0.0,0
30,410190500011,0.036303630363036306,11,0.0,0
31,410190500014,0.0,0,0.0,0
32,410191800001,0.0,0,0.0,0
33,410191800004,0.029535864978902954,7,0.0,0
34,410359704001,0.05054151624548736,28,0.018050541516245487,10
35,410359714002,0.08232445520581114,34,0.0,0
36,410359714003,0.08695652173913043,20,0.0,0
37,410359715004,0.3973333333333333,149,0.128,48
38,410359715001,0.08921933085501858,24,0.0,0
39,410359715005,0.05357142857142857,30,0.0,0
40,410359715002,0.14488636363636365,51,0.0,0
41,410359718003,0.0889487870619946,33,0.0,0
42,410419504001,0.06104328523862375,55,0.0,0
43,410290030023,0.056686046511627904,39,0.01744186046511628,12
44,410419501001,0.038461538461538464,34,0.007918552036199095,7
45,410419501002,0.05921052631578947,27,0.0,0
46,410419511001,0.11331444759206799,40,0.059490084985835696,21
47,410419511002,0.08369098712446352,39,0.0,0
