,GEOID,race_prop,race_nonw,tenu_p-rent,tenu_rent,tenu_tot
0,410290024001,0.03451676528599606,35,0.13076923076923078,51,390
1,410419508001,0.13186813186813187,204,0.22938530734632684,153,667
2,410419508002,0.11211267605633803,199,0.4566844919786096,427,935
3,410419514001,0.07420980302336234,162,0.24029850746268658,161,670
4,410419514002,0.08421913327882256,103,0.4644808743169399,255,549
5,410290027002,0.034502262443438916,61,0.15838509316770186,102,644
6,410290027003,0.03814147018030513,110,0.20770877944325483,291,1401
7,410290027001,0.12828282828282828,127,0.2942583732057416,123,418
8,410290027004,0.042540792540792544,73,0.27848101265822783,198,711
9,410290011003,0.0,0,0.16393442622950818,70,427
10,410290011002,0.07401524777636595,233,0.1468777484608619,167,1137
11,410290011001,0.18070318887980377,221,0.1324376199616123,69,521
12,410290013011,0.015593220338983051,23,0.23106796116504855,119,515
13,410290013013,0.16812227074235808,154,0.237012987012987,73,308
14,410290021002,0.10438908659549229,88,0.6283783783783784,279,444
15,410290021003,0.04,31,0.3404761904761905,143,420
16,410290029005,0.05320033250207814,64,0.34811165845648606,212,609
17,410290029001,0.0468557336621455,38,0.37755102040816324,148,392
18,410290029002,0.07651869158878505,131,0.13783403656821377,98,711
19,410290029006,0.0,0,0.29133858267716534,111,381
20,410290018003,0.08436132113012336,212,0.257372654155496,288,1119
21,410290018001,0.0159846547314578,25,0.32409972299168976,234,722
22,410290018002,0.06558704453441296,162,0.22116218560277537,255,1153
23,410290020002,0.021377672209026127,18,0.5900990099009901,298,505
24,410290028001,0.07099879663056559,118,0.2116564417177914,138,652
25,410290028003,0.04259259259259259,23,0.03759398496240601,10,266
26,410290008001,0.08737346830047948,328,0.416015625,639,1536
27,410290007001,0.0764904386951631,136,0.36470588235294116,248,680
28,410290007002,0.11945117029862792,296,0.12150433944069432,126,1037
29,410190500012,0.020833333333333332,36,0.26666666666666666,204,765
30,410190500011,0.032857142857142856,23,0.0297029702970297,9,303
31,410190500014,0.04669260700389105,36,0.08090614886731391,25,309
32,410191800001,0.14225232853513972,168,0.14537444933920704,66,454
33,410191800004,0.1988472622478386,138,0.6244725738396625,148,237
34,410359704001,0.09610027855153204,138,0.20577617328519857,114,554
35,410359714002,0.178752107925801,212,0.43099273607748184,178,413
36,410359714003,0.10412926391382406,58,0.28695652173913044,66,230
37,410359715004,0.46511627906976744,460,0.568,213,375
38,410359715001,0.12180451127819548,81,0.3940520446096654,106,269
39,410359715005,0.19391634980988592,306,0.31785714285714284,178,560
40,410359715002,0.28296296296296297,191,0.5227272727272727,184,352
41,410359718003,0.16379310344827586,133,0.9029649595687331,335,371
42,410419504001,0.12249877989263055,251,0.5005549389567148,451,901
43,410290030023,0.0,0,0.24563953488372092,169,688
44,410419501001,0.09074327405380757,199,0.30995475113122173,274,884
45,410419501002,0.06659505907626208,62,0.20175438596491227,92,456
46,410419511001,0.2109181141439206,170,0.3342776203966006,118,353
47,410419511002,0.12614259597806216,138,0.3090128755364807,144,466
48,410419516001,0.09576023391812866,131,0.2733224222585925,167,611
49,410419516003,0.055771725032425425,43,0.1806930693069307,73,404
50,410419516002,0.06893687707641195,83,0.4,238,595
51,410419509001,0.33889468196037537,325,0.4754601226993865,155,326
52,410419509003,0.06070549630844955,74,0.4525862068965517,210,464
53,410419509002,0.2902869757174393,263,0.5448504983388704,164,301
54,410419509004,0.04196642685851319,35,0.4205128205128205,164,390
55,410419512002,0.08227114716106605,71,0.40102827763496146,156,389
56,410470028001,0.07627118644067797,108,0.2076923076923077,108,520
57,410470028002,0.13684570646595964,400,0.37719298245614036,387,1026
58,410470101002,0.09379727685325265,62,0.3684210526315789,77,209
59,410470106001,0.017391304347826087,4,0.3302752293577982,36,109
60,410050222012,0.3654039557492457,1090,0.8527180783817951,1349,1582
