grid_point,hhinc_low,x,y
558,164,7665301.0722,512093.79689999996
559,164,7665301.0722,501533.79689999996
560,84,7665301.0722,490973.79689999996
561,34,7665301.0722,480413.79689999996
562,34,7665301.0722,469853.79689999996
563,34,7665301.0722,459293.79689999996
564,34,7665301.0722,448733.79689999996
565,682,7675861.0722,681053.7969
566,176,7675861.0722,670493.7969
567,263,7675861.0722,659933.7969
568,426,7675861.0722,649373.7969
569,203,7675861.0722,638813.7969
570,97,7675861.0722,628253.7969
571,314,7675861.0722,617693.7969
572,163,7675861.0722,607133.7969
573,114,7675861.0722,596573.7969
574,141,7675861.0722,586013.7969
575,126,7675861.0722,575453.7969
576,123,7675861.0722,564893.7969
577,123,7675861.0722,554333.7969
578,205,7675861.0722,543773.7969
579,84,7675861.0722,533213.7969
580,84,7675861.0722,522653.79689999996
581,164,7675861.0722,512093.79689999996
582,84,7675861.0722,501533.79689999996
583,84,7675861.0722,490973.79689999996
584,84,7675861.0722,480413.79689999996
585,84,7675861.0722,469853.79689999996
586,34,7675861.0722,459293.79689999996
587,34,7675861.0722,448733.79689999996
588,146,7686421.0722,702173.7969
589,353,7686421.0722,691613.7969
590,462,7686421.0722,681053.7969
591,228,7686421.0722,670493.7969
592,156,7686421.0722,659933.7969
593,156,7686421.0722,649373.7969
594,128,7686421.0722,638813.7969
595,169,7686421.0722,628253.7969
596,196,7686421.0722,617693.7969
597,196,7686421.0722,607133.7969
598,114,7686421.0722,596573.7969
599,165,7686421.0722,586013.7969
600,123,7686421.0722,575453.7969
601,123,7686421.0722,564893.7969
602,106,7686421.0722,554333.7969
603,176,7686421.0722,543773.7969
604,176,7686421.0722,533213.7969
605,84,7686421.0722,522653.79689999996
606,84,7686421.0722,512093.79689999996
607,84,7686421.0722,501533.79689999996
608,84,7686421.0722,490973.79689999996
609,84,7686421.0722,480413.79689999996
610,84,7686421.0722,469853.79689999996
611,146,7696981.0722,702173.7969
612,189,7696981.0722,691613.7969
613,464,7696981.0722,681053.7969
614,338,7696981.0722,670493.7969
615,176,7696981.0722,659933.7969
616,172,7696981.0722,649373.7969
617,216,7696981.0722,638813.7969
618,169,7696981.0722,628253.7969
619,169,7696981.0722,617693.7969
620,196,7696981.0722,607133.7969
621,196,7696981.0722,596573.7969
622,165,7696981.0722,586013.7969
623,172,7696981.0722,575453.7969
624,106,7696981.0722,564893.7969
625,106,7696981.0722,554333.7969
626,176,7696981.0722,543773.7969
627,176,7696981.0722,533213.7969
628,84,7696981.0722,522653.79689999996
629,84,7696981.0722,512093.79689999996
630,84,7696981.0722,501533.79689999996
631,84,7696981.0722,490973.79689999996
632,84,7696981.0722,480413.79689999996
633,84,7696981.0722,469853.79689999996
634,189,7707541.0722,691613.7969
635,195,7707541.0722,681053.7969
636,67,7707541.0722,670493.7969
637,176,7707541.0722,659933.7969
638,176,7707541.0722,649373.7969
639,216,7707541.0722,638813.7969
640,191,7707541.0722,628253.7969
641,191,7707541.0722,617693.7969
642,191,7707541.0722,607133.7969
643,58,7707541.0722,596573.7969
644,58,7707541.0722,586013.7969
645,172,7707541.0722,575453.7969
646,106,7707541.0722,564893.7969
647,106,7707541.0722,554333.7969
648,176,7707541.0722,543773.7969
649,176,7707541.0722,533213.7969
650,84,7707541.0722,522653.79689999996
651,84,7707541.0722,512093.79689999996
652,84,7707541.0722,501533.79689999996
653,84,7707541.0722,490973.79689999996
654,84,7707541.0722,480413.79689999996
655,84,7707541.0722,469853.79689999996
656,84,7707541.0722,459293.79689999996
657,189,7718101.0722,691613.7969
658,137,7718101.0722,681053.7969
659,451,7718101.0722,670493.7969
660,13,7718101.0722,659933.7969
661,171,7718101.0722,649373.7969
662,56,7718101.0722,638813.7969
663,191,7718101.0722,628253.7969
664,148,7718101.0722,617693.7969
665,148,7718101.0722,607133.7969
666,172,7718101.0722,596573.7969
667,172,7718101.0722,586013.7969
668,172,7718101.0722,575453.7969
669,173,7718101.0722,564893.7969
670,173,7718101.0722,554333.7969
671,173,7718101.0722,543773.7969
672,173,7718101.0722,533213.7969
673,84,7718101.0722,522653.79689999996
674,84,7718101.0722,512093.79689999996
675,84,7718101.0722,501533.79689999996
676,84,7718101.0722,490973.79689999996
677,84,7718101.0722,480413.79689999996
678,84,7718101.0722,469853.79689999996
679,84,7718101.0722,459293.79689999996
680,69,7728661.0722,691613.7969
681,69,7728661.0722,681053.7969
682,99,7728661.0722,670493.7969
683,99,7728661.0722,659933.7969
684,96,7728661.0722,649373.7969
685,79,7728661.0722,638813.7969
686,191,7728661.0722,628253.7969
687,119,7728661.0722,617693.7969
688,57,7728661.0722,607133.7969
689,259,7728661.0722,596573.7969
690,172,7728661.0722,586013.7969
691,172,7728661.0722,575453.7969
692,173,7728661.0722,564893.7969
693,173,7728661.0722,554333.7969
694,173,7728661.0722,543773.7969
695,173,7728661.0722,533213.7969
696,84,7728661.0722,522653.79689999996
697,84,7728661.0722,512093.79689999996
698,84,7728661.0722,501533.79689999996
699,84,7728661.0722,490973.79689999996
700,84,7728661.0722,480413.79689999996
701,84,7728661.0722,469853.79689999996
702,84,7728661.0722,459293.79689999996
703,69,7739221.0722,681053.7969
704,69,7739221.0722,670493.7969
705,99,7739221.0722,659933.7969
706,234,7739221.0722,649373.7969
707,79,7739221.0722,638813.7969
708,124,7739221.0722,628253.7969
709,124,7739221.0722,617693.7969
710,57,7739221.0722,607133.7969
711,171,7739221.0722,596573.7969
712,234,7739221.0722,586013.7969
713,186,7739221.0722,575453.7969
714,173,7739221.0722,564893.7969
715,173,7739221.0722,554333.7969
716,173,7739221.0722,543773.7969
717,173,7739221.0722,533213.7969
718,173,7739221.0722,522653.79689999996
719,84,7739221.0722,512093.79689999996
720,84,7739221.0722,501533.79689999996
721,84,7739221.0722,490973.79689999996
722,84,7739221.0722,480413.79689999996
723,84,7739221.0722,469853.79689999996
724,84,7739221.0722,459293.79689999996
725,131,7749781.0722,681053.7969
726,131,7749781.0722,670493.7969
727,131,7749781.0722,659933.7969
728,228,7749781.0722,649373.7969
729,198,7749781.0722,638813.7969
730,549,7749781.0722,628253.7969
731,124,7749781.0722,617693.7969
732,85,7749781.0722,607133.7969
733,130,7749781.0722,596573.7969
734,234,7749781.0722,586013.7969
735,186,7749781.0722,575453.7969
736,173,7749781.0722,564893.7969
737,173,7749781.0722,554333.7969
738,173,7749781.0722,543773.7969
739,0,7749781.0722,533213.7969
740,0,7749781.0722,522653.79689999996
741,0,7749781.0722,512093.79689999996
742,0,7749781.0722,501533.79689999996
743,0,7749781.0722,490973.79689999996
744,0,7749781.0722,480413.79689999996
745,0,7749781.0722,469853.79689999996
746,0,7749781.0722,459293.79689999996
747,78,7760341.0722,691613.7969
748,78,7760341.0722,681053.7969
749,131,7760341.0722,670493.7969
750,131,7760341.0722,659933.7969
751,201,7760341.0722,649373.7969
752,201,7760341.0722,649373.7969
753,201,7760341.0722,638813.7969
754,201,7760341.0722,638813.7969
755,111,7760341.0722,628253.7969
756,85,7760341.0722,617693.7969
757,85,7760341.0722,607133.7969
758,85,7760341.0722,596573.7969
759,130,7760341.0722,586013.7969
760,0,7760341.0722,575453.7969
761,0,7760341.0722,564893.7969
762,0,7760341.0722,554333.7969
763,0,7760341.0722,543773.7969
764,0,7760341.0722,533213.7969
765,0,7760341.0722,522653.79689999996
766,0,7760341.0722,512093.79689999996
767,0,7760341.0722,501533.79689999996
768,0,7760341.0722,490973.79689999996
769,0,7760341.0722,480413.79689999996
770,0,7760341.0722,469853.79689999996
771,0,7760341.0722,459293.79689999996
772,78,7770901.0722,681053.7969
773,131,7770901.0722,670493.7969
774,131,7770901.0722,659933.7969
775,201,7770901.0722,649373.7969
776,201,7770901.0722,649373.7969
777,201,7770901.0722,638813.7969
778,201,7770901.0722,638813.7969
779,111,7770901.0722,628253.7969
780,299,7770901.0722,617693.7969
781,299,7770901.0722,607133.7969
782,299,7770901.0722,596573.7969
783,130,7770901.0722,586013.7969
784,130,7770901.0722,575453.7969
785,0,7770901.0722,564893.7969
786,0,7770901.0722,554333.7969
787,0,7770901.0722,543773.7969
788,0,7770901.0722,533213.7969
789,0,7770901.0722,522653.79689999996
790,0,7770901.0722,512093.79689999996
791,0,7770901.0722,501533.79689999996
