,id,left,top,right,bottom,geometry,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,OBJECTID,UTILITYNAM,CREATIONUS,DATECREATE,DATEMODIFI,LASTUSER,GLOBALID,SHAPE_STAr,SHAPE_STLe,hhinc_<10,hhinc_10-15,hhinc_15-20,hhinc_20-25,hhinc_25-30,hhinc_30-35,hhinc_35-40,hhinc_40-45,hhinc_45-50,hhinc_50-60,hhinc_60-75,hhinc_med
25,26,7353981.9918,545492.1747,7364541.9918,556052.1747,POINT (7353981.9918 545492.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,27,7353981.9918,534932.1747,7364541.9918,545492.1747,POINT (7353981.9918 534932.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,28,7353981.9918,524372.1747,7364541.9918,534932.1747,POINT (7353981.9918 524372.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,29,7353981.9918,513812.1747,7364541.9918,524372.1747,POINT (7353981.9918 513812.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,30,7353981.9918,503252.1747,7364541.9918,513812.1747,POINT (7353981.9918 503252.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,31,7353981.9918,492692.1747,7364541.9918,503252.1747,POINT (7353981.9918 492692.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,32,7353981.9918,482132.1747,7364541.9918,492692.1747,POINT (7353981.9918 482132.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,33,7353981.9918,471572.1747,7364541.9918,482132.1747,POINT (7353981.9918 471572.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,34,7353981.9918,461012.1747,7364541.9918,471572.1747,POINT (7353981.9918 461012.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,35,7353981.9918,450452.1747,7364541.9918,461012.1747,POINT (7353981.9918 450452.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,36,7353981.9918,439892.1747,7364541.9918,450452.1747,POINT (7353981.9918 439892.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,37,7353981.9918,429332.1747,7364541.9918,439892.1747,POINT (7353981.9918 429332.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,38,7353981.9918,418772.1747,7364541.9918,429332.1747,POINT (7353981.9918 418772.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,39,7353981.9918,408212.1747,7364541.9918,418772.1747,POINT (7353981.9918 408212.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,40,7353981.9918,397652.1747,7364541.9918,408212.1747,POINT (7353981.9918 397652.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,41,7364541.9918,809492.1747,7375101.9918,820052.1747,POINT (7364541.9918 809492.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,42,7364541.9918,798932.1747,7375101.9918,809492.1747,POINT (7364541.9918 798932.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,43,7364541.9918,788372.1747,7375101.9918,798932.1747,POINT (7364541.9918 788372.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,44,7364541.9918,777812.1747,7375101.9918,788372.1747,POINT (7364541.9918 777812.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,45,7364541.9918,767252.1747,7375101.9918,777812.1747,POINT (7364541.9918 767252.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,46,7364541.9918,756692.1747,7375101.9918,767252.1747,POINT (7364541.9918 756692.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,47,7364541.9918,746132.1747,7375101.9918,756692.1747,POINT (7364541.9918 746132.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,48,7364541.9918,735572.1747,7375101.9918,746132.1747,POINT (7364541.9918 735572.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,49,7364541.9918,725012.1747,7375101.9918,735572.1747,POINT (7364541.9918 725012.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,50,7364541.9918,714452.1747,7375101.9918,725012.1747,POINT (7364541.9918 714452.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,51,7364541.9918,703892.1747,7375101.9918,714452.1747,POINT (7364541.9918 703892.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,52,7364541.9918,693332.1747,7375101.9918,703892.1747,POINT (7364541.9918 693332.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,53,7364541.9918,682772.1747,7375101.9918,693332.1747,POINT (7364541.9918 682772.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,54,7364541.9918,672212.1747,7375101.9918,682772.1747,POINT (7364541.9918 672212.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,55,7364541.9918,661652.1747,7375101.9918,672212.1747,POINT (7364541.9918 661652.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,56,7364541.9918,651092.1747,7375101.9918,661652.1747,POINT (7364541.9918 651092.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
