NAME,B19051_001E,B19051_002E,B19051_003E,B19058_001E,B19058_002E,B19058_003E,B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,state,county,tract,block group,GEOID
"Block Group 1, Census Tract 9704, Klamath County, Oregon",554,321,233,554,75,479,554,21,23,26,40,40,44,26,31,31,56,55,40,25,54,29,13,41,035,970400,1,410359704001
"Block Group 2, Census Tract 9714, Klamath County, Oregon",413,349,64,413,85,328,413,25,34,0,61,33,14,25,13,12,71,24,45,17,39,0,0,41,035,971400,2,410359714002
"Block Group 3, Census Tract 9714, Klamath County, Oregon",230,193,37,230,12,218,230,0,0,20,0,14,0,24,13,0,0,0,92,21,46,0,0,41,035,971400,3,410359714003
"Block Group 4, Census Tract 9715, Klamath County, Oregon",375,255,120,375,111,264,375,0,38,56,44,10,42,10,62,0,37,66,10,0,0,0,0,41,035,971500,4,410359715004
"Block Group 1, Census Tract 9715, Klamath County, Oregon",269,143,126,269,127,142,269,53,16,11,18,0,42,33,7,13,24,14,0,10,9,19,0,41,035,971500,1,410359715001
"Block Group 5, Census Tract 9715, Klamath County, Oregon",560,364,196,560,236,324,560,54,34,14,82,42,16,29,17,18,112,66,66,10,0,0,0,41,035,971500,5,410359715005
"Block Group 2, Census Tract 9715, Klamath County, Oregon",352,261,91,352,89,263,352,67,24,47,19,39,0,15,29,0,10,33,40,20,0,9,0,41,035,971500,2,410359715002
"Block Group 3, Census Tract 9718, Klamath County, Oregon",371,229,142,371,270,101,371,80,62,54,0,23,47,39,0,31,11,14,10,0,0,0,0,41,035,971800,3,410359718003
"Block Group 1, Census Tract 9504, Lincoln County, Oregon",901,564,337,901,288,613,901,114,22,56,104,83,84,80,29,13,61,77,73,36,44,17,8,41,041,950400,1,410419504001
"Block Group 3, Census Tract 30.02, Jackson County, Oregon",688,434,254,688,33,655,688,33,12,0,11,26,24,11,31,15,117,110,153,94,23,0,28,41,029,003002,3,410290030023
"Block Group 1, Census Tract 9501, Lincoln County, Oregon",884,612,272,884,222,662,884,59,41,69,106,70,98,41,20,14,114,58,39,45,11,43,56,41,041,950100,1,410419501001
"Block Group 2, Census Tract 9501, Lincoln County, Oregon",456,283,173,456,100,356,456,31,9,27,19,38,31,49,33,39,52,35,53,32,8,0,0,41,041,950100,2,410419501002
"Block Group 1, Census Tract 9511, Lincoln County, Oregon",353,276,77,353,65,288,353,24,12,5,21,6,24,32,18,27,18,28,63,26,6,12,31,41,041,951100,1,410419511001
"Block Group 2, Census Tract 9511, Lincoln County, Oregon",466,278,188,466,116,350,466,41,56,30,48,32,8,26,19,21,11,23,41,12,42,19,37,41,041,951100,2,410419511002
"Block Group 1, Census Tract 9516, Lincoln County, Oregon",611,434,177,611,136,475,611,37,50,28,81,34,40,0,6,4,116,70,84,42,5,14,0,41,041,951600,1,410419516001
"Block Group 3, Census Tract 9516, Lincoln County, Oregon",404,221,183,404,62,342,404,52,4,33,19,12,16,4,42,41,27,31,29,23,48,23,0,41,041,951600,3,410419516003
"Block Group 2, Census Tract 9516, Lincoln County, Oregon",595,250,345,595,170,425,595,98,43,5,30,18,18,63,40,76,62,33,54,29,20,0,6,41,041,951600,2,410419516002
"Block Group 1, Census Tract 9509, Lincoln County, Oregon",326,259,67,326,89,237,326,12,11,32,0,0,0,31,11,0,27,61,89,13,13,0,26,41,041,950900,1,410419509001
"Block Group 3, Census Tract 9509, Lincoln County, Oregon",464,376,88,464,101,363,464,19,44,21,19,16,6,41,0,36,38,81,92,41,0,10,0,41,041,950900,3,410419509003
"Block Group 2, Census Tract 9509, Lincoln County, Oregon",301,262,39,301,51,250,301,0,8,11,20,31,0,0,21,0,35,113,21,29,0,12,0,41,041,950900,2,410419509002
"Block Group 4, Census Tract 9509, Lincoln County, Oregon",390,183,207,390,70,320,390,5,58,46,75,0,31,22,0,0,34,62,44,0,0,13,0,41,041,950900,4,410419509004
"Block Group 2, Census Tract 9512, Lincoln County, Oregon",389,259,130,389,42,347,389,0,0,0,28,35,24,5,48,0,8,31,88,53,16,27,26,41,041,951200,2,410419512002
"Block Group 1, Census Tract 28, Marion County, Oregon",520,426,94,520,24,496,520,13,10,10,10,17,17,0,0,25,13,88,60,56,20,64,117,41,047,002800,1,410470028001
"Block Group 2, Census Tract 28, Marion County, Oregon",1026,827,199,1026,148,878,1026,34,0,74,64,29,90,53,37,23,44,91,160,85,59,65,118,41,047,002800,2,410470028002
"Block Group 2, Census Tract 101, Marion County, Oregon",209,177,32,209,18,191,209,0,0,5,3,0,0,2,2,11,14,39,31,27,26,19,30,41,047,010100,2,410470101002
"Block Group 1, Census Tract 106, Marion County, Oregon",109,61,48,109,30,79,109,3,8,11,3,13,10,2,8,0,11,6,6,17,3,2,6,41,047,010600,1,410470106001
"Block Group 2, Census Tract 222.01, Clackamas County, Oregon",1582,845,737,1582,370,1212,1582,90,117,97,41,212,45,182,133,16,52,233,234,87,0,43,0,41,005,022201,2,410050222012
"Block Group 1, Census Tract 222.01, Clackamas County, Oregon",202,148,54,202,56,146,202,10,0,22,0,0,30,39,14,0,16,0,71,0,0,0,0,41,005,022201,1,410050222011
"Block Group 2, Census Tract 235, Clackamas County, Oregon",534,445,89,534,69,465,534,17,0,0,0,67,19,0,21,37,0,34,55,52,165,32,35,41,005,023500,2,410050235002
"Block Group 5, Census Tract 235, Clackamas County, Oregon",373,272,101,373,68,305,373,0,68,18,0,0,0,33,0,0,16,0,30,0,83,41,84,41,005,023500,5,410050235005
"Block Group 1, Census Tract 235, Clackamas County, Oregon",533,370,163,533,126,407,533,0,22,83,0,0,29,18,39,0,58,51,81,0,41,75,36,41,005,023500,1,410050235001
